Month,Start_Date,Upper_Level,Lower_Level
2021-02,2021-02-01,13965.7,13597.85
2021-03,2021-03-01,14919.05,14468.55
2021-04,2021-04-01,14811.85,14670.65
2021-05,2021-05-03,14855.3,14602.35
2021-06,2021-06-01,15604.4,15374.9
2021-07,2021-07-01,15838.85,15710.05
2021-08,2021-08-02,15862.35,15745.85
2021-09,2021-09-01,17151.9,16916.7
2021-10,2021-10-01,17741.9,17585.4
2021-11,2021-11-01,17915.3,17615.3
2021-12,2021-12-01,17324.45,16934.05
2022-01,2022-01-03,17400.55,17244.5
2022-02,2022-02-01,17409.9,17264.35
2022-03,2022-03-02,16814.75,16356.55
2022-04,2022-04-01,17558.9,17435.6
2022-05,2022-05-02,17377.3,17054.0
2022-06,2022-06-01,16690.65,16522.2
2022-07,2022-07-01,15889.65,15732.05
2022-08,2022-08-01,17172.2,17018.35
2022-09,2022-09-01,17776.85,17409.7
2022-10,2022-10-03,17186.8,16748.7
2022-11,2022-11-01,18022.7,17901.2
2022-12,2022-12-01,18810.95,18617.3
2023-01,2023-01-02,18264.6,18080.9
2023-02,2023-02-01,17731.45,17539.0
2023-03,2023-03-01,17440.2,17255.9
2023-04,2023-04-03,17381.3,17209.45
2023-05,2023-05-02,18088.8,17885.8
2023-06,2023-06-01,18602.4,18484.05
2023-07,2023-07-03,19201.7,19024.6
2023-08,2023-08-01,19772.75,19597.6
2023-09,2023-09-01,19388.2,19224.6
2023-10,2023-10-03,19726.25,19551.05
2023-11,2023-11-01,19233.7,19056.45
2023-12,2023-12-01,20158.7,20015.85
2024-01,2024-01-01,21770.3,21676.9
2024-02,2024-02-01,21741.35,21448.85
2024-03,2024-03-01,22060.55,21860.65
2024-04,2024-04-01,22516.0,22163.6
2024-05,2024-05-02,22783.35,22568.4
2024-06,2024-06-03,22653.75,22465.1
2024-07,2024-07-01,24174.0,23985.8
2024-08,2024-08-01,24984.6,24856.5
2024-09,2024-09-02,25268.35,25199.4
2024-10,2024-10-01,26134.7,25794.1
2024-11,2024-11-01,24372.45,24172.6
2024-12,2024-12-02,24188.45,23927.15
2025-01,2025-01-01,23689.85,23460.45
2025-02,2025-02-01,23546.8,23277.4
2025-03,2025-03-03,22450.35,22104.85
2025-04,2025-04-01,23649.2,23450.2
2025-05,2025-05-02,24396.15,24198.75
2025-06,2025-06-02,24863.95,24717.4
2025-07,2025-07-01,25669.35,25473.3
2025-08,2025-08-01,24956.5,24635.0
2025-09,2025-09-01,24572.45,24404.7
2025-10,2025-10-01,24731.8,24587.7
2025-11,2025-11-03,25953.75,25711.2
2025-12,2025-12-01,26280.75,26172.4
2026-01,2026-01-01,26187.95,25969.0
2026-02,2026-02-01,25370.7,25213.65
2026-03,2026-03-02,25476.4,25141.3
2026-04,2026-04-01,22714.1,22283.85
2026-05,2026-05-04,24087.45,23796.85
