Date,Time,Symbol,CE,PE,Strike Price,Spot Price (Entry),P&L
2021-02-01,01:00:00,NIFTY,NIFTY 14100 CE,-,14100,14100,29500
2021-04-01,01:15:00,NIFTY,NIFTY 14800 CE,-,14800,14800,29500
2021-05-03,01:00:00,NIFTY,-,NIFTY 14600 PE,14600,14600,-20500
2021-06-01,01:52:00,NIFTY,NIFTY 15600 CE,-,15600,15600,29500
2021-07-01,01:00:00,NIFTY,-,NIFTY 15700 PE,15700,15700,-20500
2021-08-02,01:00:00,NIFTY,NIFTY 15900 CE,-,15900,15900,29500
2021-09-01,09:15:00,NIFTY,NIFTY 17150 CE,-,17150,17150,29500
2021-10-01,01:00:00,NIFTY,-,NIFTY 17500 PE,17500,17500,-20500
2021-11-01,01:53:00,NIFTY,NIFTY 17900 CE,-,17900,17900,29500
2022-01-03,01:00:00,NIFTY,NIFTY 17550 CE,-,17550,17550,29500
2022-02-01,01:00:00,NIFTY,NIFTY 17500 CE,-,17500,17500,29500
2022-04-01,01:29:00,NIFTY,NIFTY 17550 CE,-,17550,17550,29500
2022-05-02,01:00:00,NIFTY,-,NIFTY 17000 PE,17000,17000,-20500
2022-06-01,01:25:00,NIFTY,-,NIFTY 16550 PE,16550,16550,-20500
2022-07-01,01:00:00,NIFTY,-,NIFTY 15650 PE,15650,15650,-20500
2022-08-01,01:00:00,NIFTY,NIFTY 17300 CE,-,17300,17300,29500
2022-11-01,01:00:00,NIFTY,NIFTY 18100 CE,-,18100,18100,29500
2022-12-01,01:00:00,NIFTY,NIFTY 18850 CE,-,18850,18850,29500
2023-02-01,01:00:00,NIFTY,NIFTY 17950 CE,-,17950,17950,29500
2023-03-01,01:51:00,NIFTY,NIFTY 17450 CE,-,17450,17450,37000
2023-04-03,02:33:00,NIFTY,NIFTY 17400 CE,-,17400,17400,37000
2023-05-02,01:00:00,NIFTY,NIFTY 18150 CE,-,18150,18150,37000
2023-06-01,03:15:00,NIFTY,-,NIFTY 18500 PE,18500,18500,-25500
2023-07-03,01:00:00,NIFTY,NIFTY 19300 CE,-,19300,19300,37000
2023-08-01,09:15:00,NIFTY,NIFTY 19750 CE,-,19750,19750,37000
2023-09-01,01:00:00,NIFTY,NIFTY 19400 CE,-,19400,19400,37000
2023-10-03,01:00:00,NIFTY,-,NIFTY 19550 PE,19550,19550,-25500
2023-11-01,01:00:00,NIFTY,-,NIFTY 19050 PE,19050,19050,-25500
2023-12-01,01:00:00,NIFTY,NIFTY 20300 CE,-,20300,20300,37000
2024-01-01,02:00:00,NIFTY,NIFTY 21750 CE,-,21750,21750,37000
2024-02-01,01:00:00,NIFTY,NIFTY 21700 CE,-,21700,21700,37000
2024-03-01,01:00:00,NIFTY,NIFTY 22300 CE,-,22300,22300,44500
2024-04-01,09:26:00,NIFTY,NIFTY 22500 CE,-,22500,22500,44500
2024-05-02,09:15:00,NIFTY,-,NIFTY 22650 PE,22650,22650,-30500
2024-06-03,01:00:00,NIFTY,NIFTY 23250 CE,-,23250,23250,44500
2024-08-01,01:00:00,NIFTY,NIFTY 25000 CE,-,25000,25000,44500
2024-09-02,01:10:00,NIFTY,NIFTY 25250 CE,-,25250,25250,44500
2024-10-01,01:00:00,NIFTY,-,NIFTY 25800 PE,25800,25800,-30500
2024-12-02,01:58:00,NIFTY,NIFTY 24200 CE,-,24200,24200,44500
2025-01-01,01:00:00,NIFTY,NIFTY 23750 CE,-,23750,23750,44500
2025-02-01,02:23:00,NIFTY,NIFTY 23550 CE,-,23550,23550,52000
2025-03-03,01:32:00,NIFTY,-,NIFTY 22100 PE,22100,22100,-35500
2025-04-01,01:00:00,NIFTY,-,NIFTY 23200 PE,23200,23200,-35500
2025-05-02,01:32:00,NIFTY,NIFTY 24400 CE,-,24400,24400,44500
2025-06-02,01:00:00,NIFTY,-,NIFTY 24700 PE,24700,24700,-35500
2025-08-01,01:04:00,NIFTY,-,NIFTY 24650 PE,24650,24650,-35500
2025-09-01,01:00:00,NIFTY,NIFTY 24550 CE,-,24550,24550,44500
2025-10-01,01:00:00,NIFTY,NIFTY 24750 CE,-,24750,24750,52000
2025-11-03,09:15:00,NIFTY,-,NIFTY 25700 PE,25700,25700,-35500
2025-12-01,01:00:00,NIFTY,-,NIFTY 26200 PE,26200,26200,-35500
2026-01-01,09:15:00,NIFTY,NIFTY 26200 CE,-,26200,26200,44500
2026-02-01,01:00:00,NIFTY,-,NIFTY 25050 PE,25050,25050,-35500
2026-03-02,01:00:00,NIFTY,-,NIFTY 24700 PE,24700,24700,-35500
2026-04-01,01:00:00,NIFTY,NIFTY 22850 CE,-,22850,22850,44500
2026-05-04,01:00:00,NIFTY,NIFTY 24100 CE,-,24100,24100,52000
