Trade ID,Entry Date,Side,ATM Strike,Lots,Net P&L,Capital,Year,Month,Equity,Peak,Drawdown,Drawdown_Pct,Daily_Ret,Cumulative P&L
1,2021-02-01 01:00:00,BULL,14100,4,29500,1000000,2021,2,1029500,1029500,0.0,0.0,0.0295,29500
2,2021-04-01 01:15:00,BULL,14800,4,29500,1029500,2021,4,1059000,1059000,0.0,0.0,0.0295,59000
3,2021-05-03 01:00:00,BEAR,14600,4,-20500,1059000,2021,5,1038500,1059000,-0.01935788479697828,-1.9357884796978282,-0.0205,38500
4,2021-06-01 01:52:00,BULL,15600,4,29500,1038500,2021,6,1068000,1068000,0.0,0.0,0.0295,68000
5,2021-07-01 01:00:00,BEAR,15700,4,-20500,1068000,2021,7,1047500,1068000,-0.019194756554307114,-1.9194756554307115,-0.0205,47500
6,2021-08-02 01:00:00,BULL,15900,4,29500,1047500,2021,8,1077000,1077000,0.0,0.0,0.0295,77000
7,2021-09-01 09:15:00,BULL,17150,4,29500,1077000,2021,9,1106500,1106500,0.0,0.0,0.0295,106500
8,2021-10-01 01:00:00,BEAR,17500,4,-20500,1106500,2021,10,1086000,1106500,-0.01852688657930411,-1.8526886579304112,-0.0205,86000
9,2021-11-01 01:53:00,BULL,17900,4,29500,1086000,2021,11,1115500,1115500,0.0,0.0,0.0295,115500
10,2022-01-03 01:00:00,BULL,17550,4,29500,1115500,2022,1,1145000,1145000,0.0,0.0,0.0295,145000
11,2022-02-01 01:00:00,BULL,17500,4,29500,1145000,2022,2,1174500,1174500,0.0,0.0,0.0295,174500
12,2022-04-01 01:29:00,BULL,17550,4,29500,1174500,2022,4,1204000,1204000,0.0,0.0,0.0295,204000
13,2022-05-02 01:00:00,BEAR,17000,4,-20500,1204000,2022,5,1183500,1204000,-0.0170265780730897,-1.7026578073089702,-0.0205,183500
14,2022-06-01 01:25:00,BEAR,16550,4,-20500,1183500,2022,6,1163000,1204000,-0.0340531561461794,-3.4053156146179404,-0.0205,163000
15,2022-07-01 01:00:00,BEAR,15650,4,-20500,1163000,2022,7,1142500,1204000,-0.051079734219269105,-5.107973421926911,-0.0205,142500
16,2022-08-01 01:00:00,BULL,17300,4,29500,1142500,2022,8,1172000,1204000,-0.026578073089700997,-2.6578073089700998,0.0295,172000
17,2022-11-01 01:00:00,BULL,18100,4,29500,1172000,2022,11,1201500,1204000,-0.0020764119601328905,-0.20764119601328906,0.0295,201500
18,2022-12-01 01:00:00,BULL,18850,4,29500,1201500,2022,12,1231000,1231000,0.0,0.0,0.0295,231000
19,2023-02-01 01:00:00,BULL,17950,4,29500,1231000,2023,2,1260500,1260500,0.0,0.0,0.0295,260500
20,2023-03-01 01:51:00,BULL,17450,5,37000,1260500,2023,3,1297500,1297500,0.0,0.0,0.037,297500
