Trade ID,Entry Date,Side,ATM Strike,Lots,Net P&L,Capital
1,2021-02-01 01:00:00,BULL,14100,4,29500,1000000
2,2021-04-01 01:15:00,BULL,14800,4,29500,1029500
3,2021-05-03 01:00:00,BEAR,14600,4,-20500,1059000
4,2021-06-01 01:52:00,BULL,15600,4,29500,1038500
5,2021-07-01 01:00:00,BEAR,15700,4,-20500,1068000
6,2021-08-02 01:00:00,BULL,15900,4,29500,1047500
7,2021-09-01 09:15:00,BULL,17150,4,29500,1077000
8,2021-10-01 01:00:00,BEAR,17500,4,-20500,1106500
9,2021-11-01 01:53:00,BULL,17900,4,29500,1086000
10,2022-01-03 01:00:00,BULL,17550,4,29500,1115500
11,2022-02-01 01:00:00,BULL,17500,4,29500,1145000
12,2022-04-01 01:29:00,BULL,17550,4,29500,1174500
13,2022-05-02 01:00:00,BEAR,17000,4,-20500,1204000
14,2022-06-01 01:25:00,BEAR,16550,4,-20500,1183500
15,2022-07-01 01:00:00,BEAR,15650,4,-20500,1163000
16,2022-08-01 01:00:00,BULL,17300,4,29500,1142500
17,2022-11-01 01:00:00,BULL,18100,4,29500,1172000
18,2022-12-01 01:00:00,BULL,18850,4,29500,1201500
19,2023-02-01 01:00:00,BULL,17950,4,29500,1231000
20,2023-03-01 01:51:00,BULL,17450,5,37000,1260500
21,2023-04-03 02:33:00,BULL,17400,5,37000,1297500
22,2023-05-02 01:00:00,BULL,18150,5,37000,1334500
23,2023-06-01 03:15:00,BEAR,18500,5,-25500,1371500
24,2023-07-03 01:00:00,BULL,19300,5,37000,1346000
25,2023-08-01 09:15:00,BULL,19750,5,37000,1383000
26,2023-09-01 01:00:00,BULL,19400,5,37000,1420000
27,2023-10-03 01:00:00,BEAR,19550,5,-25500,1457000
28,2023-11-01 01:00:00,BEAR,19050,5,-25500,1431500
29,2023-12-01 01:00:00,BULL,20300,5,37000,1406000
30,2024-01-01 02:00:00,BULL,21750,5,37000,1443000
31,2024-02-01 01:00:00,BULL,21700,5,37000,1480000
32,2024-03-01 01:00:00,BULL,22300,6,44500,1517000
33,2024-04-01 09:26:00,BULL,22500,6,44500,1561500
34,2024-05-02 09:15:00,BEAR,22650,6,-30500,1606000
35,2024-06-03 01:00:00,BULL,23250,6,44500,1575500
36,2024-08-01 01:00:00,BULL,25000,6,44500,1620000
37,2024-09-02 01:10:00,BULL,25250,6,44500,1664500
38,2024-10-01 01:00:00,BEAR,25800,6,-30500,1709000
39,2024-12-02 01:58:00,BULL,24200,6,44500,1678500
40,2025-01-01 01:00:00,BULL,23750,6,44500,1723000
41,2025-02-01 02:23:00,BULL,23550,7,52000,1767500
42,2025-03-03 01:32:00,BEAR,22100,7,-35500,1819500
43,2025-04-01 01:00:00,BEAR,23200,7,-35500,1784000
44,2025-05-02 01:32:00,BULL,24400,6,44500,1748500
45,2025-06-02 01:00:00,BEAR,24700,7,-35500,1793000
46,2025-08-01 01:04:00,BEAR,24650,7,-35500,1757500
47,2025-09-01 01:00:00,BULL,24550,6,44500,1722000
48,2025-10-01 01:00:00,BULL,24750,7,52000,1766500
49,2025-11-03 09:15:00,BEAR,25700,7,-35500,1818500
50,2025-12-01 01:00:00,BEAR,26200,7,-35500,1783000
51,2026-01-01 09:15:00,BULL,26200,6,44500,1747500
52,2026-02-01 01:00:00,BEAR,25050,7,-35500,1792000
53,2026-03-02 01:00:00,BEAR,24700,7,-35500,1756500
54,2026-04-01 01:00:00,BULL,22850,6,44500,1721000
55,2026-05-04 01:00:00,BULL,24100,7,52000,1765500
